SampleID,Location,SampleDate,SedimentType,GrainSize,TOC,Gravel,Silt_Clay,Solids,PFBA,PFPeA,PFBS,PFHxA,PFPeS,PFHpA,PFHxS,PFOA,6:2 FTS,PFHpS,PFNA,PFOS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFNS,PFDoS,4:2 FTS,8:2 FTS,FOSA,N-MeFOSA,N-MeFOSAA,N-EtFOSA,N-EtFOSAA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFDS,PFMPA,SumPFAS,log_PFBA,log_PFPeA,log_PFBS,log_PFHxA,log_PFPeS,log_PFHpA,log_PFHxS,log_PFOA,log_6:2 FTS,log_PFHpS,log_PFNA,log_PFOS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFNS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-MeFOSAA,log_N-EtFOSA,log_N-EtFOSAA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_PFDS,log_PFMPA
WG023-SED-EAST-10272020,South,10/27/2020 0:00,Silt,0.648,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.1286,0.1416,0.0625,0.2404,0.125,0.1811,0.0419,0.125,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2781,-1.204119983,-1.204119983,-0.903089987,-0.890759031,-0.848936747,-1.204119983,-0.619065537,-0.903089987,-0.74208155,-1.377785977,-0.903089987,0.29710365,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG025-SED-WEST-10292020,North,10/29/2020 0:00,Silt,0.456,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.2217,0.125,0.1559,0.0405,0.125,2.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4686,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.654234307,-0.903089987,-0.807153885,-1.392544977,-0.903089987,0.373463722,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG026-SED-SPILL-10292020,Spill,10/29/2020 0:00,Medium Sand,0.678,25800,9.45,10.48,74.8,0.1282,0.1584,0.2502,0.3154,0.3226,0.1663,2.0529,0.5062,1.2777,0.2265,0.125,14.0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6013,-0.892111975,-0.800244823,-0.601712695,-0.501138311,-0.491335637,-0.779107751,0.312367795,-0.295677859,0.106428895,-0.644931794,-0.903089987,1.14835274,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG027-SED-EAST-10292020,South,10/29/2020 0:00,Silt,0.199,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.1318,0.0625,0.0625,0.1986,0.125,0.1711,0.0285,0.125,1.9838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1388,-1.204119983,-1.204119983,-0.903089987,-0.88008459,-1.204119983,-1.204119983,-0.702020756,-0.903089987,-0.76674999,-1.54515514,-0.903089987,0.297497886,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG028-SED-HEAD-10292020,Head,10/29/2020 0:00,Medium Sand,0.678,103000,2.32,7.97,74.6,0.1275,0.1552,0.3264,0.4527,0.3846,0.1482,2.7289,0.497,2.0617,0.592,0.125,21.9005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4997,-0.894489815,-0.809108283,-0.48624985,-0.344189506,-0.41499072,-0.829151796,0.435987621,-0.303643611,0.314225471,-0.227678293,-0.903089987,1.34045403,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG029-SED-WEST-11032020,North,11/3/2020 0:00,Silt,0.199,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1807,0.125,0.1659,,0.125,1.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6613,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.743041847,-0.903089987,-0.780153614,#NUM!,-0.903089987,0.211440936,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG031-SED-EAST-11032020,South,11/3/2020 0:00,Silt,0.678,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.0625,0.1238,0.0625,0.3342,0.125,0.1475,0.0526,0.125,2.7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0129,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-0.907279355,-1.204119983,-0.475993554,-0.903089987,-0.83120798,-1.279014256,-0.903089987,0.436130829,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG033-SED-WEST-11052020,North,11/5/2020 0:00,Silt,0.199,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.2001,0.125,0.2267,0.0125,0.125,3.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2213,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-1.204119983,-1.204119983,-0.698752911,-0.903089987,-0.64454848,-1.903089987,-0.903089987,0.490590487,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG035-SED-EAST-11052020,South,11/5/2020 0:00,Silt,0.199,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.0625,0.2822,0.0625,0.2597,0.125,0.1478,0.0827,0.125,2.6074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0048,-1.204119983,-1.204119983,-0.903089987,-1.204119983,-0.549442991,-1.204119983,-0.58552805,-0.903089987,-0.830325566,-1.08249449,-0.903089987,0.416207661,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG036-SED-HEAD-11052020,Head,11/5/2020 0:00,Medium Sand,0.456,103000,2.32,7.97,74.6,0.0625,,0.411,0.2743,0.4338,0.2291,2.71,0.411,1.5748,0.3228,0.1333,30.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2376,-1.204119983,#NUM!,-0.386158178,-0.561774192,-0.362710452,-0.639974911,0.432969291,-0.386158178,0.197225406,-0.491066474,-0.875169851,1.486784571,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
