"","Sample ID","Analyte","Vista","Eurofins","diff","percent_diff"
"131","JBA-092-SW-SPILL-042821","PFNA",12.4,16,-3.6,-25.3521126760563
"132","JBA-092-SW-SPILL-042821","PFOSA",14.3,5.8,8.5,84.5771144278607
"133","JBA-092-SW-SPILL-042821","PFOS",766,640,126,17.923186344239
"134","JBA-092-SW-SPILL-042821","8:2 FTS",6.61,7.7,-1.09,-15.2341020265549
"135","JBA-093-SW-RIPP-042821","PFBA",40.6,40,0.600000000000001,1.48883374689827
"136","JBA-093-SW-RIPP-042821","PFPrS",26.4,NA,NA,NA
"137","JBA-093-SW-RIPP-042821","PFPeA",120,130,-10,-8
"138","JBA-093-SW-RIPP-042821","PFBS",60.3,72,-11.7,-17.687074829932
"139","JBA-093-SW-RIPP-042821","PFHxA",218,240,-22,-9.60698689956332
"140","JBA-093-SW-RIPP-042821","PFPeS",57.7,67,-9.3,-14.915797914996
"141","JBA-093-SW-RIPP-042821","PFHpA",49.9,54,-4.1,-7.89220404234841
"142","JBA-093-SW-RIPP-042821","PFHxS",726,720,6,0.829875518672199
"143","JBA-093-SW-RIPP-042821","6:2 FTS",147,150,-3,-2.02020202020202
"144","JBA-093-SW-RIPP-042821","PFOA",270,340,-70,-22.9508196721311
"145","JBA-093-SW-RIPP-042821","PFHpS",17.5,20,-2.5,-13.3333333333333
"146","JBA-093-SW-RIPP-042821","PFNA",10.9,14,-3.1,-24.8995983935743
"147","JBA-093-SW-RIPP-042821","PFOSA",8.99,6,2.99,39.8932621747832
"148","JBA-093-SW-RIPP-042821","PFOS",719,720,-1,-0.138985406532314
"149","JBA-093-SW-RIPP-042821","8:2 FTS",5.5,7,-1.5,-24
"150","JBA-094-SW-DOWN-042821","PFBA",41.7,44,-2.3,-5.36756126021003
"151","JBA-094-SW-DOWN-042821","PFPrS",26.3,NA,NA,NA
"152","JBA-094-SW-DOWN-042821","PFPeA",122,130,-8,-6.34920634920635
"153","JBA-094-SW-DOWN-042821","PFBS",61.3,81,-19.7,-27.6879831342235
"154","JBA-094-SW-DOWN-042821","PFHxA",238,230,8,3.41880341880342
"155","JBA-094-SW-DOWN-042821","PFPeS",64,80,-16,-22.2222222222222
"156","JBA-094-SW-DOWN-042821","PFHpA",55,50,5,9.52380952380952
"157","JBA-094-SW-DOWN-042821","PFHxS",751,780,-29,-3.78837361201829
"158","JBA-094-SW-DOWN-042821","6:2 FTS",147,160,-13,-8.46905537459283
"159","JBA-094-SW-DOWN-042821","PFOA",272,300,-28,-9.79020979020979
"160","JBA-094-SW-DOWN-042821","PFHpS",20.1,23,-2.9,-13.4570765661253
"161","JBA-094-SW-DOWN-042821","PFNA",11,18,-7,-48.2758620689655
"162","JBA-094-SW-DOWN-042821","PFOSA",11.6,5.5,6.1,71.3450292397661
"163","JBA-094-SW-DOWN-042821","PFOS",731,750,-19,-2.56583389601621
"164","JBA-094-SW-DOWN-042821","8:2 FTS",7.94,7.6,0.340000000000001,4.37580437580439
"165","JBA-095-SW-EXIT-042821","PFBA",40.4,43,-2.6,-6.23501199040768
"166","JBA-095-SW-EXIT-042821","PFPrS",24.1,NA,NA,NA
"167","JBA-095-SW-EXIT-042821","PFPeA",116,120,-4,-3.38983050847458
"168","JBA-095-SW-EXIT-042821","PFBS",65.6,66,-0.400000000000006,-0.607902735562319
"169","JBA-095-SW-EXIT-042821","PFHxA",221,240,-19,-8.24295010845987
"170","JBA-095-SW-EXIT-042821","PFPeS",57.1,67,-9.9,-15.9548751007252
"171","JBA-095-SW-EXIT-042821","PFHpA",53.8,58,-4.2,-7.5134168157424
"172","JBA-095-SW-EXIT-042821","PFHxS",736,810,-74,-9.57309184993532
"173","JBA-095-SW-EXIT-042821","6:2 FTS",151,140,11,7.56013745704467
"174","JBA-095-SW-EXIT-042821","PFOA",284,350,-66,-20.820189274448
"175","JBA-095-SW-EXIT-042821","PFHpS",19.4,21,-1.6,-7.92079207920793
"176","JBA-095-SW-EXIT-042821","PFNA",10.7,16,-5.3,-39.7003745318352
"177","JBA-095-SW-EXIT-042821","PFOSA",14.9,6,8.9,85.1674641148325
"178","JBA-095-SW-EXIT-042821","PFOS",707,730,-23,-3.20111343075852
"179","JBA-095-SW-EXIT-042821","8:2 FTS",5.95,NA,NA,NA
"180","JBA047-SW-SPILL-033021","PFBA",41,37,4,10.2564102564103
"181","JBA047-SW-SPILL-033021","PFPrS",23.9,NA,NA,NA
"182","JBA047-SW-SPILL-033021","PFPeA",113,120,-7,-6.00858369098712
"183","JBA047-SW-SPILL-033021","PFBS",55.2,57,-1.8,-3.20855614973261
"184","JBA047-SW-SPILL-033021","PFHxA",215,220,-5,-2.29885057471264
"185","JBA047-SW-SPILL-033021","PFPeS",55.6,66,-10.4,-17.1052631578947
"186","JBA047-SW-SPILL-033021","PFHpA",56,57,-1,-1.76991150442478
"187","JBA047-SW-SPILL-033021","PFHxS",615,530,85,14.8471615720524
"188","JBA047-SW-SPILL-033021","6:2 FTS",134,190,-56,-34.5679012345679
"189","JBA047-SW-SPILL-033021","PFOA",262,280,-18,-6.64206642066421
"190","JBA047-SW-SPILL-033021","PFHpS",17.4,17,0.399999999999999,2.32558139534883
"191","JBA047-SW-SPILL-033021","PFNA",10.9,17,-6.1,-43.7275985663082
"192","JBA047-SW-SPILL-033021","PFOSA",12.3,5,7.3,84.393063583815
"193","JBA047-SW-SPILL-033021","PFOS",669,590,79,12.549642573471
"194","JBA048-SW-RIPP-033021","PFBA",36.6,36,0.600000000000001,1.65289256198348
"195","JBA048-SW-RIPP-033021","PFPrS",20.4,NA,NA,NA
"196","JBA048-SW-RIPP-033021","PFPeA",105,110,-5,-4.65116279069767
"197","JBA048-SW-RIPP-033021","PFBS",48.9,59,-10.1,-18.7210379981464
"198","JBA048-SW-RIPP-033021","PFHxA",192,230,-38,-18.0094786729858
"199","JBA048-SW-RIPP-033021","PFPeS",50.9,61,-10.1,-18.0518319928508
"200","JBA048-SW-RIPP-033021","PFHpA",44.8,51,-6.2,-12.9436325678497
"201","JBA048-SW-RIPP-033021","PFHxS",609,570,39,6.61577608142494
"202","JBA048-SW-RIPP-033021","6:2 FTS",115,120,-5,-4.25531914893617
"203","JBA048-SW-RIPP-033021","PFOA",226,300,-74,-28.1368821292776
"204","JBA048-SW-RIPP-033021","PFHpS",16,18,-2,-11.7647058823529
"205","JBA048-SW-RIPP-033021","PFNA",10.1,16,-5.9,-45.2107279693487
"206","JBA048-SW-RIPP-033021","PFOSA",8.25,5.1,3.15,47.1910112359551
"207","JBA048-SW-RIPP-033021","PFOS",627,570,57,9.52380952380952
"208","JBA049-SW-DOWN-033021","PFBA",34.4,36,-1.6,-4.54545454545455
"209","JBA049-SW-DOWN-033021","PFPrS",18.9,NA,NA,NA
