SampleID,SampleDate,Species,Sex,Tissue,Length,log_Length,Weight,log_Weight,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS
BG027-LIV-01122021,10-Nov-20,Bluegill,F,Liver,16,1.204119983,83.8,1.923244019,0.2768,-0.557833914,0.2768,-0.557833914,0.2768,-0.557833914,0.2768,-0.557833914,0.5535,-0.256882375,2.17,0.336459734,5.05,0.703291378,0.2768,-0.557833914,0.2768,-0.557833914,1.6,0.204119983,0.366,-0.436518915,4920,3.691965103
BG028-MU-01122021,10-Nov-20,Bluegill,M,Muscle,23,1.361727836,459.5,2.662285516,0.0451,-1.345823458,0.0451,-1.345823458,0.0903,-1.04431225,0.0451,-1.345823458,0.467,-0.330683119,0.0451,-1.345823458,223,2.348304863,0.0903,-1.04431225,0.0451,-1.345823458,0.0903,-1.04431225,0.0903,-1.04431225,85,1.929418926
BG028-LIV-01122021,10-Nov-20,Bluegill,M,Liver,23,1.361727836,459.5,2.662285516,0.049,-1.30980392,0.049,-1.30980392,0.049,-1.30980392,0.049,-1.30980392,0.098,-1.008773924,0.602,-0.220403509,5.36,0.72916479,0.098,-1.008773924,0.049,-1.30980392,1.38,0.139879086,0.049,-1.30980392,676,2.829946696
PR001-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0493,-1.307153081,0.0493,-1.307153081,0.0493,-1.307153081,0.0493,-1.307153081,0.0985,-1.00656377,0.0985,-1.00656377,7.06,0.848804701,0.0985,-1.00656377,0.0493,-1.307153081,2.48,0.394451681,0.0493,-1.307153081,1190,3.075546961
PR002-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0418,-1.378823718,0.0418,-1.378823718,0.0418,-1.378823718,0.0418,-1.378823718,0.215,-0.66756154,0.947,-0.023650021,24.1,1.382017043,0.91,-0.040958608,0.0418,-1.378823718,4,0.602059991,0.0418,-1.378823718,705,2.848189117
PR003-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0469,-1.328827157,0.0469,-1.328827157,0.0469,-1.328827157,0.0469,-1.328827157,0.0937,-1.028260409,0.368,-0.434152181,7.07,0.849419414,0.0937,-1.028260409,0.0469,-1.328827157,2.7,0.431363764,0.45,-0.346787486,1120,3.049218023
PR004-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.044,-1.356547324,0.044,-1.356547324,0.044,-1.356547324,0.044,-1.356547324,0.238,-0.623423043,0.0879,-1.056011125,11.9,1.075546961,0.0879,-1.056011125,0.044,-1.356547324,3.5,0.544068044,0.231,-0.63638802,1040,3.017033339
PR005-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0486,-1.313363731,0.0486,-1.313363731,0.0486,-1.313363731,0.0486,-1.313363731,0.416,-0.380906669,0.194,-0.71219827,10.2,1.008600172,0.206,-0.68613278,0.0486,-1.313363731,3.81,0.580924976,0.589,-0.229884705,1490,3.173186268
PR006-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0427,-1.369572125,0.0427,-1.369572125,0.0427,-1.369572125,0.0427,-1.369572125,0.629,-0.201349355,0.207,-0.684029655,9.62,0.983175072,0.253,-0.596879479,0.0427,-1.369572125,3.93,0.59439255,0.369,-0.432973634,1590,3.201397124
PR007-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0512,-1.290730039,0.0512,-1.290730039,0.0512,-1.290730039,0.0512,-1.290730039,0.377,-0.42365865,0.1023,-0.990124366,5.27,0.721810615,0.1023,-0.990124366,0.0512,-1.290730039,1.6,0.204119983,0.0512,-1.290730039,1140,3.056904851
PR008-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0403,-1.394694954,0.0403,-1.394694954,0.0403,-1.394694954,0.0403,-1.394694954,0.472,-0.326058001,0.426,-0.370590401,7.79,0.891537458,0.0806,-1.093664958,0.0403,-1.394694954,3.05,0.484299839,0.0403,-1.394694954,1030,3.012837225
PR009-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0498,-1.302770657,0.0498,-1.302770657,0.0498,-1.302770657,0.0498,-1.302770657,0.0996,-1.001740662,0.0996,-1.001740662,6.87,0.836956737,0.0996,-1.001740662,0.0498,-1.302770657,2.62,0.418301291,0.0498,-1.302770657,1070,3.029383778
PR010-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0487,-1.312471039,0.0487,-1.312471039,0.0976,-1.010550182,0.0487,-1.312471039,0.39,-0.408935393,6.56,0.816903839,25.1,1.399673721,0.429,-0.367542708,0.0487,-1.312471039,4.12,0.614897216,0.475,-0.32330639,1430,3.155336037
PR011-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0416,-1.380906669,0.0416,-1.380906669,0.0416,-1.380906669,0.0831,-1.080398976,0.442,-0.354577731,2.64,0.421603927,7.36,0.866877814,0.0831,-1.080398976,0.0416,-1.380906669,3.44,0.536558443,0.0416,-1.380906669,1190,3.075546961
PR012-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0488,-1.311580178,0.0488,-1.311580178,0.0488,-1.311580178,0.0488,-1.311580178,0.301,-0.521433504,0.0975,-1.010995384,9.15,0.961421094,0.0975,-1.010995384,0.0488,-1.311580178,2.36,0.372912003,0.263,-0.580044252,1110,3.045322979
PR013-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0411,-1.386158178,0.0411,-1.386158178,0.0411,-1.386158178,0.0411,-1.386158178,0.421,-0.375717904,0.239,-0.621602099,9.46,0.975891136,0.0821,-1.085656843,0.0411,-1.386158178,3.31,0.519827994,0.473,-0.325138859,1090,3.037426498
PR014-WG-01192021,10-Nov-20,Prey,U,WholeBody,,,,,0.0435,-1.361510743,0.0435,-1.361510743,0.0435,-1.361510743,0.0435,-1.361510743,0.222,-0.653647026,0.087,-1.060480747,6.82,0.833784375,0.087,-1.060480747,0.0435,-1.361510743,2.86,0.456366033,0.087,-1.060480747,953,2.979092901
