SampleID,Location,SampleDate,WaterTemp,Precipitation,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS,SumPFAS
WG038-SW-WEST-110520,North,5-Nov-20,8.7,0.3852,9.5,0.9777,23.33,1.3679,11.18,1.0484,19.54,1.2909,7.655,0.8839,11.14,1.0469,100.1,2.0004,41.54,1.6185,18.15,1.2589,3.631,0.56,3.426,0.5348,338.3,2.5293,587.492
WG039-SW-SPILL-110520,Spill,5-Nov-20,8.8,0.3852,10.3,1.0128,22.39,1.3501,10.72,1.0302,22.29,1.3481,7.295,0.863,10.01,1.0004,102.1,2.009,43.88,1.6423,26.69,1.4263,3.224,0.5084,3.176,0.5019,360.7,2.5571,622.775
WG040-SW-EAST-110520,South,5-Nov-20,8.4,0.3852,11.04,1.043,22.16,1.3456,10.86,1.0358,21.38,1.33,6.854,0.8359,11.89,1.0752,105,2.0212,44.9,1.6522,20.43,1.3103,6.769,0.8305,3.065,0.4864,317.1,2.5012,581.448
WG041-SW-HEAD-110520,Head,5-Nov-20,9.4,0.3852,13.64,1.1348,25.28,1.4028,17.3,1.238,34.06,1.5322,13.53,1.1313,13.45,1.1287,182,2.2601,55.79,1.7466,39.84,1.6003,8.437,0.9262,4.246,0.628,696,2.8426,1103.573
WG044-SW-WEST-110320,North,3-Nov-20,9.9,0,13.11,1.1176,18.05,1.2565,10.41,1.0175,23.67,1.3742,10.5,1.0212,10.07,1.003,113,2.0531,42.5,1.6284,22.61,1.3543,5.211,0.7169,2.842,0.4536,294.9,2.4697,566.873
WG045-SW-SPILL-110320,Spill,3-Nov-20,9.7,0,10.5,1.0212,18.31,1.2627,11.83,1.073,23.73,1.3753,9.564,0.9806,10.46,1.0195,117.6,2.0704,55.85,1.747,26.11,1.4168,5.301,0.7244,3.088,0.4897,356.4,2.5519,648.743
WG046-SW-EAST-110320,South,3-Nov-20,9.7,0,12.24,1.0878,29.03,1.4628,11.72,1.0689,28.53,1.4553,11.2,1.0492,12.43,1.0945,150.2,2.1767,53.26,1.7264,31.75,1.5017,5.07,0.705,4.671,0.6694,571.8,2.7572,921.901
WG047-SW-HEAD-110320,Head,3-Nov-20,11.3,0,28.11,1.4489,130.7,2.1163,70.02,1.8452,104.1,2.0175,98.64,1.9941,38.65,1.5871,1493,3.1741,63.14,1.8003,49.16,1.6916,25.08,1.3993,6.086,0.7843,712.6,2.8528,2819.286
WG049-SW-WEST-111020,North,10-Nov-20,16.1,0,10.89,1.037,22.25,1.3473,12.37,1.0924,27.57,1.4404,9.493,0.9774,14.62,1.1649,111.5,2.0473,49.32,1.693,26.02,1.4153,4.554,0.6584,3.582,0.5541,394.5,2.596,686.669
WG050-SW-SPILL-111020,Spill,10-Nov-20,13.6,0,9.394,0.9729,24.51,1.3893,13.12,1.1179,26.03,1.4155,10.02,1.0009,9.895,0.9954,100.6,2.0026,56.35,1.7509,27.44,1.4384,9.435,0.9747,3.437,0.5362,375.2,2.5743,665.431
WG051-SW-EAST-111020,South,10-Nov-20,14.1,0,10.55,1.0233,23.31,1.3675,9.604,0.9825,26.32,1.4203,8.236,0.9157,9.614,0.9829,128.7,2.1096,51.74,1.7138,32.84,1.5164,3.242,0.5108,3.798,0.5796,372.6,2.5712,680.554
WG052-SW-HEAD-111020,Head,10-Nov-20,14.6,0,10.87,1.0362,26.75,1.4273,12.54,1.0983,25.52,1.4069,9.869,0.9943,13.99,1.1458,155.8,2.1926,50.28,1.7014,17.08,1.2325,6.35,0.8028,3.869,0.5876,824.1,2.916,1157.018
